#LSD# 2048 1024 pano.pgm (width height input)
# FORMAT: x1, y1, x2, y2, width, p, -log10(NFA)
926.015107 560.208622 923.500187 572.952359 4.663377 0.125000 2.362456 
419.299862 632.515584 514.398047 636.295111 4.755867 0.125000 164.844447 
1686.880766 569.535044 1671.855234 570.076397 1.789272 0.125000 0.796335 
2032.308067 389.574146 2043.498388 394.185788 9.995063 0.125000 13.128181 
1417.210617 444.718303 1411.515515 450.285907 5.302961 0.125000 5.524104 
1056.883476 605.227505 1084.368331 604.954247 3.849231 0.125000 6.838527 
1101.206923 455.237106 1089.185634 452.814763 7.361438 0.125000 11.160423 
1163.463273 645.903697 1145.613646 633.140880 6.395875 0.125000 23.738776 
1195.598539 611.448840 1205.637450 610.825510 4.912924 0.125000 5.439073 
1453.510489 526.731430 1451.867559 508.015923 1.860634 0.125000 2.602515 
9.591413 598.197311 10.461669 610.636427 4.638855 0.031250 2.863853 
175.401715 648.093617 174.790958 628.112286 5.865181 0.125000 26.794423 
885.296028 494.901172 900.470047 497.711615 5.053165 0.125000 7.548049 
1084.873404 604.965417 1077.388957 579.592113 6.288029 0.125000 39.072404 
1931.827872 699.385833 1928.785169 686.148605 5.251091 0.125000 0.766096 
937.703788 515.584874 938.895125 503.079285 2.488733 0.125000 0.432253 
845.380874 579.467588 853.554927 490.664573 5.864386 0.125000 192.802212 
925.240569 659.321506 914.618083 735.658825 4.327386 0.125000 119.130759 
1067.091186 499.463486 1064.446784 543.280211 6.916369 0.125000 128.950897 
1533.094621 565.011230 1560.650852 563.647292 2.991303 0.125000 17.388641 
656.808913 838.604816 739.462600 849.988985 3.707829 0.125000 102.446913 
1354.485727 591.175500 1344.874567 593.108685 3.551328 0.125000 0.432253 
1622.857788 610.716254 1624.615937 591.781306 3.502803 0.125000 21.776988 
689.353639 705.656168 712.507984 721.525278 5.537648 0.125000 21.458256 
1267.358472 611.368387 1276.918446 596.903714 5.585689 0.125000 7.914690 
1531.530589 584.382846 1530.932289 558.118000 5.311840 0.125000 12.810166 
180.633353 614.493020 182.290255 649.473746 5.296739 0.125000 71.378194 
1030.987834 543.345538 1033.047163 528.285281 4.731516 0.125000 4.692429 
1605.449952 579.392271 1603.593764 560.578751 2.365188 0.125000 3.746421 
1610.850661 578.265315 1612.387183 603.170519 8.810367 0.125000 21.605719 
1650.385750 521.907455 1653.950077 548.182642 2.309282 0.125000 15.175764 
435.519812 830.418634 395.547908 826.389879 2.602929 0.125000 16.912169 
1230.519163 603.695152 1238.221682 602.496043 5.325052 0.062500 1.440867 
93.085669 621.565120 0.490773 633.317442 6.100068 0.125000 125.353088 
510.707296 635.954141 590.620546 631.789530 4.277626 0.125000 137.590182 
1318.178428 611.973628 1340.668921 611.511226 6.325763 0.125000 22.464352 
1644.578337 626.385737 1654.434461 630.481926 3.561981 0.125000 1.175318 
104.964498 247.535032 136.510653 215.268784 6.930988 0.125000 72.728334 
1551.870606 467.934168 1456.834645 470.122180 4.452024 0.125000 201.337943 
594.389080 637.110174 513.056421 641.979526 5.110144 0.125000 150.459652 
854.187236 489.100270 875.838011 493.268597 4.581770 0.125000 25.019951 
902.417369 292.657439 932.223232 287.732514 7.389062 0.125000 30.346194 
1012.779701 501.839525 996.203416 663.184425 5.169666 0.125000 205.582851 
1092.711174 618.398310 1086.594002 609.136143 4.861067 0.125000 0.549695 
194.497874 620.778606 195.538360 636.880599 6.156387 0.125000 25.014046 
2027.918301 511.705801 2025.879411 529.259360 3.436515 0.125000 1.583668 
1099.570213 656.941824 1086.011875 646.081482 8.780453 0.125000 16.975026 
1383.116993 714.374698 1382.362107 734.393368 2.875048 0.125000 7.177781 
1610.367511 399.783744 1602.845548 396.213816 6.124945 0.125000 2.311541 
1708.070383 568.428247 1694.365991 569.218834 1.967836 0.031250 0.198503 
994.791631 570.649976 996.891197 535.625971 2.645118 0.125000 25.904438 
1899.424678 678.120606 1897.879230 660.646737 2.964549 0.125000 2.487704 
2009.112155 506.249819 2021.351870 501.103871 5.093664 0.125000 6.097726 
82.465267 508.070982 86.126614 548.079095 2.489597 0.125000 21.078305 
1622.907578 673.822919 1590.490610 721.784166 3.049518 0.125000 52.341355 
1631.872269 611.705064 1675.631056 611.001794 2.479590 0.125000 30.961637 
1142.529949 607.277041 1135.588412 618.585227 5.326508 0.125000 22.670562 
1891.584952 630.379262 1905.961676 613.410244 5.497109 0.125000 17.073532 
920.148914 573.212828 921.845438 558.263501 3.303228 0.125000 3.828174 
1648.307930 734.680710 1659.109437 684.051661 4.009853 0.125000 63.480488 
1140.615695 655.297948 1126.805745 655.690860 8.710911 0.125000 21.745225 
1672.291335 524.336884 1670.568218 505.515758 3.506455 0.125000 19.588032 
1166.109003 500.542767 1163.825247 521.815982 2.752568 0.125000 1.583668 
1601.727784 597.305007 1570.546597 599.522585 5.248026 0.125000 23.683840 
1610.659668 628.707247 1636.903825 630.069787 3.144738 0.125000 22.649459 
961.442403 561.834263 966.386757 509.329023 3.192143 0.125000 54.711049 
1070.773606 837.279604 1059.390890 838.301925 6.224944 0.125000 1.942848 
1277.067518 580.618835 1290.689144 582.706468 4.464170 0.125000 2.362456 
709.387232 728.105183 689.664330 715.931394 7.445833 0.125000 21.858742 
1246.677789 607.404753 1266.982519 609.654684 5.523641 0.125000 37.122574 
1877.423672 814.218838 1866.417695 819.708104 5.590167 0.125000 2.120866 
1501.896249 598.424348 1490.614364 599.225167 3.652083 0.125000 2.042418 
1510.398639 646.374924 1474.208257 662.756631 3.608273 0.125000 42.839297 
1529.375715 608.134194 1604.408225 602.302486 3.086599 0.125000 68.846057 
1570.642749 583.371534 1596.936450 581.478542 1.695575 0.125000 8.021055 
1613.765013 606.525036 1611.592440 618.071835 4.682642 0.125000 9.754432 
189.210389 655.634689 188.037289 635.703735 4.917916 0.125000 31.372784 
1256.692796 566.747272 1265.062522 558.783825 5.433537 0.125000 2.619006 
1279.378908 486.853920 1239.139631 479.394715 8.831263 0.125000 128.416985 
1736.884464 621.016547 1716.865946 621.500431 1.642312 0.125000 2.903007 
16.863913 610.482258 26.900452 609.702675 3.641937 0.125000 3.083898 
1125.347309 628.490162 1141.063704 640.441849 4.259897 0.125000 3.597798 
83.545168 550.589449 80.263084 511.799857 3.104314 0.125000 38.655082 
857.770674 493.203012 851.122908 569.527241 4.270009 0.125000 120.780401 
1651.574118 548.165936 1648.166471 523.119358 2.249667 0.125000 14.636981 
207.014204 347.194770 232.148469 336.253195 3.141832 0.125000 31.616272 
1376.184560 544.293465 1372.476201 575.695996 2.345524 0.125000 24.458315 
1559.064761 776.605459 1586.984488 744.470125 3.573529 0.125000 43.785395 
1997.933307 593.105987 1997.388744 634.398260 4.062862 0.125000 27.699289 
1054.871066 593.275035 1052.574719 581.735754 5.141698 0.125000 3.701374 
1646.815976 595.626577 1646.547138 585.566951 4.373215 0.125000 3.780805 
1676.868264 611.732428 1710.602014 610.138524 2.438218 0.125000 24.592768 
1243.151044 483.012552 1182.633737 468.996066 11.434398 0.125000 196.320370 
1369.596421 579.400409 1373.751016 543.196839 2.442956 0.125000 31.106204 
1410.898787 563.127058 1411.265201 514.379812 2.669049 0.125000 49.801259 
1764.460124 464.745605 1711.863837 476.826400 8.067264 0.125000 102.167772 
8.554057 386.283704 10.102538 377.586849 6.810578 0.125000 15.175764 
842.674876 489.224741 834.595116 580.644454 4.540397 0.125000 183.452688 
1640.674818 661.887083 1644.319268 646.861482 2.983621 0.125000 2.061719 
1696.540435 543.062070 1700.756112 520.649662 2.383795 0.125000 3.952591 
998.166178 526.360726 980.877107 524.976397 7.675609 0.125000 33.703409 
999.056171 564.349199 1000.873238 541.895088 1.447577 0.125000 1.699425 
1534.363699 585.368765 1561.920357 584.153411 2.056962 0.125000 15.528534 
194.798268 640.562755 197.603065 659.635576 6.037990 0.125000 14.039728 
1808.968233 642.283053 1798.975875 632.275424 3.795091 0.062500 2.136187 
172.956314 629.756754 163.203528 625.447282 3.297137 0.125000 1.175318 
226.379854 347.959706 269.700011 332.803990 7.433569 0.125000 73.545498 
1186.053265 821.173549 1197.571492 823.701335 7.861559 0.125000 3.046320 
1529.253739 762.263121 1461.352124 741.048575 3.954787 0.125000 67.688653 
1703.016581 520.605014 1698.659042 544.243017 2.039512 0.125000 13.439595 
114.317594 565.282014 83.455978 552.335991 7.399671 0.125000 47.949854 
1241.723395 584.016742 1250.623232 584.414549 4.770497 0.125000 1.222714 
1569.373345 563.105266 1596.889430 560.797020 2.804726 0.125000 21.084414 
112.893843 401.276892 128.466419 395.258406 3.954761 0.125000 5.296173 
220.628285 445.649206 279.315224 437.684545 2.707324 0.125000 47.193691 
1067.647512 578.183334 1065.756233 603.229300 5.079928 0.125000 37.748787 
1311.773602 573.992927 1331.847281 574.953974 3.626157 0.125000 3.447103 
1415.981938 554.373976 1415.910187 529.374181 1.303808 0.125000 2.602515 
1449.354482 594.659254 1469.372004 594.233969 6.328243 0.125000 21.194804 
1859.655401 794.498280 1796.006683 807.494310 5.296585 0.125000 76.823975 
1862.817079 730.568823 1865.731512 779.443187 3.462854 0.125000 58.990100 
